Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Fragrance / Aroma,Flavor,Aftertaste,Salt / Acid,Bitter / Sweet,Mouthfeel,Uniform Cup,Clean Cup,Balance,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
robusta,Vietnam,Cường Farm,1,Cường Farm,,Dalanka Forest Farm,700,"Phú Xuân, Krông Năng, Đăk Lăk",Dalanka Forest Farm,8,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Dalanka Forest Farm,Cũ,Completed,Natural / Dry,7.67,7.67,7.75,7.58,7.75,7.58,10,10,7.58,7.5,0,81.08,11.30%,0 full defects,0,Brownish,3 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Kỷ Nguyễn Coffee Farm,1,Kỷ Nguyễn Coffee Farm,,Tankynguyen,960,"Bảo Lộc, Lâm Đồng",Nguyễn Duy Tân,75,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",NguyenDuyTan,Sẻ,Completed,Natural / Dry,7.67,7.58,7.58,7.67,7.75,7.58,10,10,7.58,7.58,0,81,11.20%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Hoa Lý Coffee,1,Hoa Lý Coffee,,hoaly coffee,450,"Quảng Hiệp, Cư M'Gar, Đắk Lăk",Lê Thị Lý,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",hoaly coffee,"Vối, Sẻ, Dây",Completed,Natural / Dry,7.58,7.58,7.58,7.67,7.67,7.67,10,10,7.67,7.58,0,81,10.60%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,ĐẠM COFFEE FARM,1,ĐẠM COFFEE FARM,,Đạm Coffee Farm,600,"Hoà Thuận, Buôn Mê Thuột, Đắk Lắk",Trần Thị Trân Châu Ngọc,20,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",NGUYEN THI TRAN CHAU NGOC,TR4,Completed,Honey (E02),7.67,7.58,7.58,7.67,7.67,7.58,10,10,7.58,7.5,0,80.83,10.70%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,"Coffee Grower Group Cooperative Member Group, Nan Province",2023-2024,PIYADON,,"PBGT CO.,LTD",500-600,Nan,PIYADON,2,1 kg,Specialty Coffee Institute of Thailand,2019 / 2020,"July 8th, 2024",PIROM COFFEE,,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.5,7.67,10,10,7.5,7.58,0,80.83,10.40%,0 full defects,0,Yellow-Green,16 full defects,,"July 8th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,NGUYỄN CPR FARM,1,NGUYỄN CPR FARM,,CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ NGUYỄN CPR,480,"Làng Tung. Xã Ia O., huyện Chư Prông. tỉnh Gia Lai.",Công Ty CP Sản Xuất Và DV Nguyễn CPR,12,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",cafe nguyen cpr,Sẻ,Completed,Natural / Dry,7.58,7.58,7.58,7.75,7.58,7.58,10,10,7.58,7.5,0,80.75,10%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Indonesia,Lestari Coffee,1,Supriadi,,lestari coffee,900,Rejang Lebong,Supriadi,40,50 kg,5758 Coffee Lab,2023,"July 15th, 2024",supriyadi,Sintaro 1,Completed,Natural / Dry,7.75,7.67,7.5,7.58,7.58,7.33,10,10,7.5,7.75,0,80.67,11%,0 full defects,3,Grey-brownish,3 full defects,,"July 15th, 2025",5758 Coffee Lab,"Rusa Pinus Raya E1-D, Jl. Pinus Raya Barat, Gegerkalong, Kota Bandung, Jawa Barat 40153, Indonesia",Adi W. Taroepratjeka - +62-8122021163
robusta,Vietnam,ANA FARM,1,ANA FARM,,CÔNG TY TNHH SX TM DV ANA - (ANA FARM),500,"Bình Hòa, Krong Ana, Đắk Lắk",Huỳnh Quốc Duy,25,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Huỳnh Quốc Duy,Mixed,Completed,Natural / Dry,7.67,7.5,7.58,7.58,7.58,7.58,10,10,7.58,7.58,0,80.67,9.60%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,India,Sethuraman Estate,14/1148/2024/02 Boundary Block,Kaapi Royale,14/1148/2024/02,Kaapi Royale,2950,"Magundi,Badra River Belt,Chikmagalur",Kaapi Royale,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2024,"November 7th, 2024",Nishant Gurjer,CXR VARIETY,Completed,Washed / Wet,7.58,7.42,7.5,7.75,7.75,7.42,10,10,7.5,7.5,0,80.42,13.90%,0 full defects,1,Green,4 full defects,,"November 7th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
robusta,Thailand,Uncle Kian Robusta Farm,1,Horizon Harvest,,Horizon Harvest,330,"Wiang Sa, Nan, Thailand",Horizon Harvest,1,20 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Chawasit Tengtrairatana,robusta,Completed,Natural / Dry,8,8.08,7.75,8.17,7.92,7.75,10,10,7.83,7.83,0,83.33,11.60%,0 full defects,0,Green,5 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,Buôn's Coffee Farm,1112,Buôn's Coffee Farm,,Buôn's Coffee Farm,550,Buôn Ma Thuột - Đắk Lắk,Buôn's Coffee Farm,15,30 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",Văn Hướng,TR4,Completed,Anaerobic Natural,7.42,7.25,7.17,7.5,7.67,7.17,10,10,7.33,7.17,0,78.67,12.30%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Brazil,FAZENDA SELVA CAFÉ,RS870/24,wet mill,002-2020-0022,Kimbo S.P.A.,200,Matas de Rondônia,Juan Travain,1,60 kg,IMPERATOR SRL - Green Trading Company,2023 / 2024,"November 20th, 2024",alessandro marconicchio,CLONAL R15,Completed,Washed / Wet,7.25,7.25,7.08,7.08,7.08,7.33,10,10,7.17,7.25,0,77.5,10.60%,0 full defects,0,Pale-yellow,2 full defects,,"November 20th, 2025",IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115
robusta,Peru,CEPRO YANESHA,Per117/23,CEPRO YANESHA,,eKô Kollektiv,1000,Villa Rica,CEPRO YANESHA,15,69 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023 / 2024,"July 31st, 2024",Diego José Bolaños,Robusta,Completed,Washed / Wet,7.67,7.58,7.33,7.42,7.5,7.58,9.33,9.33,7.5,7.42,-1.33,77.33,10.60%,0 full defects,3,Yellow-green,0 full defects,,"July 31st, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
robusta,Brazil,CHÁCARA PARANÁ,RS869/24,DRY,002-2020-0022,Kimbo S.P.A.,232,Matas de rondonia,Poliana Perrut de lima,1,60 kg,IMPERATOR SRL - Green Trading Company,2023 / 2024,"November 20th, 2024",alessandro marconicchio,Clonal R15,Completed,Natural / Dry,7,7.17,7.17,6.92,7.08,7.25,10,10,7,7.25,0,76.83,10.60%,0 full defects,0,Brownish,2 full defects,,"November 20th, 2025",IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115
robusta,India,Harley Estate,India Parchment AB harley estate,wet mill,14/2629/2023/03,Kimbo S.P.A.,900-1000,Manjarabad,Harley Estate,5,60 kg,IMPERATOR SRL - Green Trading Company,2022 / 2023,"November 20th, 2024",alessandro marconicchio,SNL 274,Completed,Washed / Wet,7.25,6.67,6.83,6.67,6.67,7,10,10,6.92,6.83,0,74.83,10.80%,0 full defects,0,Pale-yellow,0 full defects,,"November 20th, 2025",IMPERATOR SRL - Green Trading Company,"IMPERATOR SRL, CAMPO DEL BELVEDERE 6",Alberto Polojac - 0039 040 3720115
robusta,Nicaragua,,NHOL-1128/24,,,Nestle Nespresso SA,,,,320,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2023,"September 10th, 2024",Alexis Rodriguez,Conilon,Completed,Natural / Dry,7.25,6.83,7.17,7.33,7.25,7.08,9.33,9.33,7.08,6.92,-1.33,74.25,10.10%,0 full defects,2,Brwonish - is natural process,2 full defects,,"September 10th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
